DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/09/09 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,8,0.0,0.55,16.6,-2.63073,-46.83865
2025/09/09 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,0.97,8.5,-3.58108,-48.86074
2025/09/09 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,1.0,12.2,-3.58999,-48.85944
2025/09/11 17:45:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,15,0.0,0.97,19.0,-2.88805,-47.7046
2025/09/12 18:24:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,30,0.2,0.95,297.8,-3.23838,-47.62935
2025/09/12 18:24:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,29,0.2,0.86,71.3,-3.22511,-47.61663
2025/09/13 17:24:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,31,0.0,1.0,44.2,-3.24156,-47.64917
2025/09/14 18:04:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,31,0.0,0.95,7.8,-3.22827,-47.63471
2025/09/14 18:04:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,18,0.0,0.91,6.2,-3.2257,-47.12418
2025/09/14 18:04:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,18,0.0,0.91,5.4,-3.22697,-47.13292
2025/09/16 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,34,0.0,1.0,25.0,-3.52815,-47.65056
2025/09/16 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,20,0.0,0.98,22.7,-3.22612,-47.12936
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,12,0.0,0.9,301.3,-2.79847,-47.15281
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,35,0.0,0.96,20.3,-3.34781,-48.39697
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,34,0.0,0.96,86.3,-3.35721,-48.3956
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,12,0.0,0.87,22.5,-2.79977,-47.16174
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,16,0.0,0.92,10.0,-3.66816,-48.32578
2025/09/19 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,12,0.0,0.85,52.5,-2.79717,-47.14386
2025/09/21 17:39:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,29,0.97,0.86,29.5,-3.62204,-47.72935
2025/09/21 17:39:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.74,20.0,-2.83838,-46.73581
2025/09/21 17:39:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.84,24.9,-3.0627,-46.93185
2025/09/24 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,13,0.0,1.0,7.9,-2.79814,-46.72441
2025/09/24 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,28,0.0,0.99,8.9,-3.23445,-47.12883
2025/09/27 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,2.2,0.97,39.8,-3.60603,-48.87447
2025/09/29 17:54:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,34,0.0,1.0,12.4,-2.96737,-47.36451
2025/09/29 17:54:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,34,0.0,1.0,11.9,-2.96579,-47.35344
2025/09/29 17:54:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,25,0.0,0.88,13.0,-3.11083,-47.00892
2025/09/29 17:54:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,33,0.0,0.98,13.3,-3.22965,-47.12885
2025/09/29 17:54:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,27,0.0,0.88,41.5,-3.10271,-47.02096
2025/10/01 17:32:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,31,0.0,0.91,30.1,-3.10856,-47.03536
2025/10/01 17:32:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,28,0.0,0.9,91.0,-3.10342,-47.01535
2025/10/01 17:32:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,27,0.0,0.9,72.1,-3.10482,-47.00843
2025/10/02 18:11:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,18,3.52,0.41,7.0,-2.73799,-47.14879
2025/10/04 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,1.0,15.0,-2.96391,-47.35204
2025/10/04 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,0.85,77.8,-3.0901,-47.02443
2025/10/04 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,0.85,9.3,-3.08834,-47.01221
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.3,0.21,27.0,-3.64527,-48.44553
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.49,0.8,22.3,-3.22014,-47.12678
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,39,10.47,0.05,7.4,-3.11432,-47.78847
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.54,0.8,7.2,-3.22143,-47.13556
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,39,10.72,0.03,31.1,-3.11559,-47.79721
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,1.45,0.45,7.9,-3.73284,-48.35396
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.67,12.9,-3.10301,-47.01502
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.3,0.21,17.4,-3.64657,-48.45449
2025/10/07 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.84,15.3,-3.04596,-46.93328
2025/10/15 18:21:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,7,0.0,1.0,24.3,-3.73294,-48.35968
2025/10/15 18:21:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,7,0.0,0.97,30.8,-3.64887,-48.42051
2025/10/15 18:21:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,1.0,21.3,-3.41027,-47.08344
2025/10/17 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,10,0.0,0.97,10.2,-3.0918,-47.02377
2025/10/17 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,10,0.0,0.97,10.1,-3.09045,-47.0145
